row,wavelength,n_real,n_imag,aa,bb
626,0.532,1.3,0.0,13,0.38
627,0.532,1.3,0.0,13,0.39
628,0.532,1.3,0.0,13,0.4
629,0.532,1.3,0.0,13,0.41
630,0.532,1.3,0.0,13,0.42
631,0.532,1.3,0.0,13,0.43
632,0.532,1.3,0.0,13,0.44
633,0.532,1.3,0.0,13,0.45
634,0.532,1.3,0.0,13,0.46
635,0.532,1.3,0.0,13,0.47
636,0.532,1.3,0.0,13,0.48
637,0.532,1.3,0.0,13,0.49
638,0.532,1.3,0.0,14,0.01
639,0.532,1.3,0.0,14,0.02
640,0.532,1.3,0.0,14,0.03
641,0.532,1.3,0.0,14,0.04
642,0.532,1.3,0.0,14,0.05
643,0.532,1.3,0.0,14,0.06
644,0.532,1.3,0.0,14,0.07
645,0.532,1.3,0.0,14,0.08
646,0.532,1.3,0.0,14,0.09
647,0.532,1.3,0.0,14,0.1
648,0.532,1.3,0.0,14,0.11
649,0.532,1.3,0.0,14,0.12
650,0.532,1.3,0.0,14,0.13
651,0.532,1.3,0.0,14,0.14
652,0.532,1.3,0.0,14,0.15
653,0.532,1.3,0.0,14,0.16
654,0.532,1.3,0.0,14,0.17
655,0.532,1.3,0.0,14,0.18
656,0.532,1.3,0.0,14,0.19
657,0.532,1.3,0.0,14,0.2
658,0.532,1.3,0.0,14,0.21
659,0.532,1.3,0.0,14,0.22
660,0.532,1.3,0.0,14,0.23
661,0.532,1.3,0.0,14,0.24
662,0.532,1.3,0.0,14,0.25
663,0.532,1.3,0.0,14,0.26
664,0.532,1.3,0.0,14,0.27
665,0.532,1.3,0.0,14,0.28
666,0.532,1.3,0.0,14,0.29
667,0.532,1.3,0.0,14,0.3
668,0.532,1.3,0.0,14,0.31
669,0.532,1.3,0.0,14,0.32
670,0.532,1.3,0.0,14,0.33
671,0.532,1.3,0.0,14,0.34
672,0.532,1.3,0.0,14,0.35
673,0.532,1.3,0.0,14,0.36
674,0.532,1.3,0.0,14,0.37
675,0.532,1.3,0.0,14,0.38
676,0.532,1.3,0.0,14,0.39
677,0.532,1.3,0.0,14,0.4
678,0.532,1.3,0.0,14,0.41
679,0.532,1.3,0.0,14,0.42
680,0.532,1.3,0.0,14,0.43
681,0.532,1.3,0.0,14,0.44
682,0.532,1.3,0.0,14,0.45
683,0.532,1.3,0.0,14,0.46
684,0.532,1.3,0.0,14,0.47
685,0.532,1.3,0.0,14,0.48
686,0.532,1.3,0.0,14,0.49
687,0.532,1.3,0.0,15,0.01
688,0.532,1.3,0.0,15,0.02
689,0.532,1.3,0.0,15,0.03
690,0.532,1.3,0.0,15,0.04
691,0.532,1.3,0.0,15,0.05
692,0.532,1.3,0.0,15,0.06
693,0.532,1.3,0.0,15,0.07
694,0.532,1.3,0.0,15,0.08
